text,aspect_terms
"We were on a table of 6, and loved the food,the Portugues salmon and the sirloin steak with cream sauce were loved by everyone, the apetizers were a bit too small for he price they charge.","{'from': [39, 48, 132], 'to': [43, 64, 141], 'polarity': ['positive', 'positive', 'negative'], 'term': ['food', 'Portugues salmon', 'apetizers']}"
"When we confronted the hostess, she told us that there were 3 of them and only 2 of us, and that the 3 women had a reservation at 8:30pm.","{'from': [23, 115], 'to': [30, 126], 'polarity': ['negative', 'neutral'], 'term': ['hostess', 'reservation']}"
"I love to go there on weekends and have the delicious french toast (made from baguette slices) or the granola with fresh fruit, sometimes I am so torn that I end up getting both!","{'from': [54, 87, 102, 121], 'to': [66, 93, 109, 126], 'polarity': ['positive', 'neutral', 'neutral', 'positive'], 'term': ['french toast', 'slices', 'granola', 'fruit']}"
"At one point, the waiter told us that he couldn't find our wine!","{'from': [18, 59], 'to': [24, 63], 'polarity': ['negative', 'neutral'], 'term': ['waiter', 'wine']}"
"(We did make reservations, since we had a group of 8, but had a short wait when arriving a little early.","{'from': [13, 70], 'to': [25, 74], 'polarity': ['neutral', 'negative'], 'term': ['reservations', 'wait']}"
"The menu was small, but the food delicious.","{'from': [4, 28], 'to': [8, 32], 'polarity': ['negative', 'positive'], 'term': ['menu', 'food']}"
For appetizers try vegetable samosas and chicken wings.,"{'from': [4, 19, 41], 'to': [14, 36, 54], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['appetizers', 'vegetable samosas', 'chicken wings']}"
We tried to get the manager who flatly refused to come to our table and discuss the problem with us.,"{'from': [20, 62], 'to': [27, 67], 'polarity': ['negative', 'neutral'], 'term': ['manager', 'table']}"
"The owner has taken over three dining tables for her computer, adding machine, phone and assorted and untidy papers.","{'from': [31, 109], 'to': [44, 115], 'polarity': ['neutral', 'negative'], 'term': ['dining tables', 'papers']}"
"Though the wait may be long because they only have 16 tables it is worth it, and it seems to go by fast after a drink or two at the bar.","{'from': [11, 54, 112, 132], 'to': [15, 60, 117, 135], 'polarity': ['negative', 'neutral', 'neutral', 'neutral'], 'term': ['wait', 'tables', 'drink', 'bar']}"
The drinks are just as expensive as the chain coffee houses.,"{'from': [4, 46], 'to': [10, 59], 'polarity': ['negative', 'neutral'], 'term': ['drinks', 'coffee houses']}"
"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.","{'from': [2, 56], 'to': [8, 60], 'polarity': ['negative', 'neutral'], 'term': ['waiter', 'wine']}"
"We were charged for the missing appetizer and when I complained to the manager, who never thought to apologize, he blamed the kitchen.","{'from': [24, 71, 126], 'to': [41, 78, 133], 'polarity': ['neutral', 'negative', 'neutral'], 'term': ['missing appetizer', 'manager', 'kitchen']}"
"However, the service has SIGNIFICANTLY declined since they expanded into the back room.","{'from': [13, 82], 'to': [20, 86], 'polarity': ['negative', 'neutral'], 'term': ['service', 'room']}"
The pancakes I ordered were nothing like the menu's description.,"{'from': [4, 45, 52], 'to': [12, 49, 63], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['pancakes', 'menu', 'description']}"
The place was a bit busy when I got there so we ate at the bar.,"{'from': [4, 59], 'to': [9, 62], 'polarity': ['negative', 'neutral'], 'term': ['place', 'bar']}"
"The best dish out of our 3 mains: quail with figs (also had the rabbit chicken), I suggest ordering a few plates to share as one would normally do with tapas.","{'from': [64, 152, 9], 'to': [78, 157, 13], 'polarity': ['neutral', 'neutral', 'positive'], 'term': ['rabbit chicken', 'tapas', 'dish']}"
"Both times I sat in the lounge area which is very appealing, but right in front of the bar, which explains my frustration for being ignored while dropping a lot of money for decent food and wine.","{'from': [24, 87, 181], 'to': [35, 90, 185], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['lounge area', 'bar', 'food']}"
"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.","{'from': [46, 85], 'to': [64, 91], 'polarity': ['neutral', 'positive'], 'term': ['Paella Vallenciana', 'plates']}"
Very pleasant looking bar area and a lounge area with free pool.,"{'from': [22, 37], 'to': [30, 48], 'polarity': ['positive', 'neutral'], 'term': ['bar area', 'lounge area']}"
"The bar gets out of control busy due to it's proximity to Fordham University--but the Fordham kids are cool, so it's alright!","{'from': [4, 86], 'to': [7, 98], 'polarity': ['neutral', 'positive'], 'term': ['bar', 'Fordham kids']}"
"After reading all the reviews here and many glowing recommendations on food blogs, I thought I MUST try this pizza!","{'from': [71, 109], 'to': [75, 114], 'polarity': ['neutral', 'positive'], 'term': ['food', 'pizza']}"
"Among us, we ordered a large sampling of the menu, and everyone thoroughly enjoyed their meal.","{'from': [45, 89], 'to': [49, 93], 'polarity': ['neutral', 'positive'], 'term': ['menu', 'meal']}"
"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.","{'from': [52, 116], 'to': [71, 123], 'polarity': ['neutral', 'negative'], 'term': ['family-style dinner', 'service']}"
"We were told by the front door hostess since we didn't have a reservation, it would be about 45mins for a table, but we could wait at the lounge and they would get us when our table was ready.","{'from': [20, 62, 138], 'to': [38, 73, 144], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['front door hostess', 'reservation', 'lounge']}"
"Apart from the rare to medium rare mistake on my steak, the food was ok and and not worth the money.","{'from': [49, 60], 'to': [54, 64], 'polarity': ['neutral', 'negative'], 'term': ['steak', 'food']}"
"The prixe fix menu was a deal to boost downtown restaurants, atleast we didn't pay the full price.","{'from': [14, 92], 'to': [18, 97], 'polarity': ['positive', 'negative'], 'term': ['menu', 'price']}"
"And the service is unbearable - I waited for ages to get my drink, got the wrong sushi order, and had my appetizer whisked away prematurely.","{'from': [8, 60, 105], 'to': [15, 65, 114], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['service', 'drink', 'appetizer']}"
"There is a huge line, usually a 45 minute wait; they take no reservations and no tables of more than five people.","{'from': [42, 61, 81], 'to': [46, 73, 87], 'polarity': ['neutral', 'negative', 'negative'], 'term': ['wait', 'reservations', 'tables']}"
"The waiters do not pay any attention to the customers, instead sit at the bar and watch TV.","{'from': [4, 74], 'to': [11, 77], 'polarity': ['negative', 'neutral'], 'term': ['waiters', 'bar']}"
"the pre dinner drink at the bar was very pleasant, good start, although we waited up to about an hour before our table was ready.","{'from': [4, 28], 'to': [20, 31], 'polarity': ['positive', 'neutral'], 'term': ['pre dinner drink', 'bar']}"
The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,"{'from': [4, 63, 77, 88], 'to': [8, 71, 83, 91], 'polarity': ['negative', 'positive', 'neutral', 'neutral'], 'term': ['menu', 'tostones', 'garlic', 'oil']}"
"My boyfriend took me to dinner for an early Valentine's Day, we showed up early for our reservation to meet an incredibly rude host who told us the bar was full, to just wait behind a rope.","{'from': [88, 148], 'to': [99, 151], 'polarity': ['neutral', 'negative'], 'term': ['reservation', 'bar']}"
"for dessert , you can't go wrong with the buttermilk panacotta with rhubarb compote, or the righteous cheesecake.","{'from': [4, 102], 'to': [11, 112], 'polarity': ['neutral', 'positive'], 'term': ['dessert', 'cheesecake']}"
"Ok, it's not greasy steak and juicy burger good, but it's a light healthy fare, if you are into that kind of stuff.","{'from': [74, 109], 'to': [78, 114], 'polarity': ['positive', 'neutral'], 'term': ['fare', 'stuff']}"
"When there are ten open tables in a room, the hostess insisted on seating peopl on top of each other.","{'from': [46, 66], 'to': [53, 73], 'polarity': ['negative', 'neutral'], 'term': ['hostess', 'seating']}"
"For the prices, the food is decidedly lackluster, and the service, unless you are a regular, can be quite rude.","{'from': [8, 20, 58], 'to': [14, 24, 65], 'polarity': ['neutral', 'negative', 'negative'], 'term': ['prices', 'food', 'service']}"
"We happen to walk by, read the menu posted outside they offered a nice selection ranging from citrus salmon, pan seared trout, chicken pot pie, sirlion steak, the fried calamari is out of this world they use a secret ingredient to their dipping sauce.","{'from': [31, 71, 101, 109, 127, 152, 163, 237], 'to': [35, 80, 107, 112, 142, 157, 177, 250], 'polarity': ['neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'positive', 'neutral'], 'term': ['menu', 'selection', 'salmon', 'pan', 'chicken pot pie', 'steak', 'fried calamari', 'dipping sauce']}"
The store has a great atmosphere amd amazing staff who are always there to help if its a cup of coffee or a nice chat.,"{'from': [22, 45, 89], 'to': [32, 50, 102], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['atmosphere', 'staff', 'cup of coffee']}"
"They did a great job on the decor but it seems that the food has gotten a bit less in the quality department, as well as in the portion size!","{'from': [28, 56, 128], 'to': [33, 60, 140], 'polarity': ['positive', 'negative', 'negative'], 'term': ['decor', 'food', 'portion size']}"
"I had dinner with my friend, and regardless of our $100 check, I overheard the waiter say that we had been there too long.","{'from': [6, 79], 'to': [12, 85], 'polarity': ['neutral', 'negative'], 'term': ['dinner', 'waiter']}"
The prices have gone up and some of good old standby entrees have disappeared from the menu.,"{'from': [53, 87], 'to': [60, 91], 'polarity': ['positive', 'neutral'], 'term': ['entrees', 'menu']}"
"The Food Crispy flatbreads and excellent olive oil start the meal, but save room--chef-owner Rocco Sacramone's abbondanza means you'll be going home with doggie bags.","{'from': [4, 41, 61], 'to': [8, 50, 65], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['Food', 'olive oil', 'meal']}"
"We asked the waitress very nicely to please change the playlist to something more appropriate for dinner, she chuckled to herself and said sure but never changed it.","{'from': [13, 98], 'to': [21, 104], 'polarity': ['negative', 'neutral'], 'term': ['waitress', 'dinner']}"
"We went for lunch on Saturday, wait wasn't bad considering that it had only opened recently.","{'from': [12, 31], 'to': [17, 35], 'polarity': ['neutral', 'positive'], 'term': ['lunch', 'wait']}"
The complimentary desssert with the Greek coffee knocked my socks off!,"{'from': [18, 36], 'to': [26, 48], 'polarity': ['positive', 'neutral'], 'term': ['desssert', 'Greek coffee']}"
"I stopped in here for a pre-theater dinner, and I must say I was very happy with my meal.","{'from': [24, 84], 'to': [42, 88], 'polarity': ['neutral', 'positive'], 'term': ['pre-theater dinner', 'meal']}"
"People were leaving because they had been waiting for hours, however we decided to stay and have a complimentary drink at the bar which was absoloutely beautiful along with the view, the only plus.","{'from': [42, 126], 'to': [49, 129], 'polarity': ['negative', 'neutral'], 'term': ['waiting', 'bar']}"
As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,"{'from': [7, 28, 86], 'to': [15, 33, 98], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['waitress', 'table', 'glass bottle']}"
Between the 6 of us we tried almost everything on the menu and we were all very pleased with our meals.,"{'from': [54, 97], 'to': [58, 102], 'polarity': ['neutral', 'positive'], 'term': ['menu', 'meals']}"
"Since the menu is not organized in the way to describe the size of each dish, and there is no omakase nor a course, waiter's recommendation may be crucial to decide what to order, but he just recommended what he likes without considering appropriate amount for one person, and even served shellfish to whom who had mentioned she is allergic to shellfish!","{'from': [10, 116], 'to': [14, 122], 'polarity': ['neutral', 'negative'], 'term': ['menu', 'waiter']}"
"Even though it wasn't totally full, the waitress had to RUN around the restaurant, and the drinks and the food took a LONG time to arrive.","{'from': [40, 91], 'to': [48, 97], 'polarity': ['negative', 'neutral'], 'term': ['waitress', 'drinks']}"
"Showed up last Sunday night with girlfriends and no reservation, host was very helpful finding us a seats at bar after short wait.","{'from': [65, 109, 125], 'to': [69, 112, 129], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['host', 'bar', 'wait']}"
As to the fact that everyone else's sushi looked better: the waitresses are not responsible for offering you what is CLEARLY written on the menu as Omakase - Chef's Choice.,"{'from': [36, 61, 140], 'to': [41, 71, 144], 'polarity': ['positive', 'negative', 'neutral'], 'term': ['sushi', 'waitresses', 'menu']}"
"The only bad thing was that the third alien was so friendly and took a lot of time at the other tables, so she didn't come see us.","{'from': [38, 96], 'to': [43, 102], 'polarity': ['positive', 'neutral'], 'term': ['alien', 'tables']}"
"We received our food and coffee at the same time, and couldn't get the attention of any waiter to refill our cups.","{'from': [16, 25, 88], 'to': [20, 31, 94], 'polarity': ['neutral', 'neutral', 'negative'], 'term': ['food', 'coffee', 'waiter']}"
"i love this pizza, its not greasy or filled with mounds of cheese, its just fresh tomatoes basil and buffalo mozz.","{'from': [12, 49, 82], 'to': [17, 55, 96], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['pizza', 'mounds', 'tomatoes basil']}"
"We tried explaining nicely to them that we were just finishing up a drink, and after a brief, unprofessional discussion with the two waiters, they told us never to come back again.","{'from': [68, 133], 'to': [73, 140], 'polarity': ['neutral', 'negative'], 'term': ['drink', 'waiters']}"
my date's non veg thali was really expensive and had like one or two pieces of meat in each sauce.,"{'from': [18, 79, 92], 'to': [23, 83, 97], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['thali', 'meat', 'sauce']}"
We fully relied on our very capable waiter for choices of the menu and we were not disappointed.,"{'from': [36, 62], 'to': [42, 66], 'polarity': ['positive', 'neutral'], 'term': ['waiter', 'menu']}"
"There were many helpful people, not only one waiter - kept refilling the water, the wine, asking if everything was okay.","{'from': [45, 84], 'to': [51, 88], 'polarity': ['positive', 'neutral'], 'term': ['waiter', 'wine']}"
Also lovely was the atmosphere; the high ceilings and spacious room make it a nice contrast from the other brunch mills on the upper west side.,"{'from': [20, 107], 'to': [30, 113], 'polarity': ['positive', 'neutral'], 'term': ['atmosphere', 'brunch']}"
"The food was so-so and you would think it was a french resturant, the portions were so tiny.","{'from': [4, 70], 'to': [8, 78], 'polarity': ['neutral', 'negative'], 'term': ['food', 'portions']}"
"For lunch I had the Carnitas de Puercos (pork tacos), which was a bit bland and the portions are kind of small dont expect to chow down.","{'from': [4, 20, 84], 'to': [9, 52, 92], 'polarity': ['neutral', 'negative', 'negative'], 'term': ['lunch', 'Carnitas de Puercos (pork tacos)', 'portions']}"
"), we were not given bread though the couple next to us was, we asked twice for our check and when it came, they forced us to pay the tip in cash so they could get out of paying taxes!","{'from': [21, 134], 'to': [26, 137], 'polarity': ['negative', 'neutral'], 'term': ['bread', 'tip']}"
At one point I noticed the grime on the mustard bottle and asked the waitress for a clean one.,"{'from': [48, 69], 'to': [54, 77], 'polarity': ['negative', 'neutral'], 'term': ['bottle', 'waitress']}"
"if you don't mind slow service and limited selections on the menu occasionally, then you might consider dining there.","{'from': [23, 61], 'to': [30, 65], 'polarity': ['negative', 'neutral'], 'term': ['service', 'menu']}"
"the regular prices looked pretty expensive (~$15 per appetizer, ~$35 per entre) so the restaurant week menu (at $35pp) seemed like a sweet deal.","{'from': [12, 53], 'to': [18, 62], 'polarity': ['negative', 'neutral'], 'term': ['prices', 'appetizer']}"
"Best Baked Ziti in the area, great classic NY pizza.","{'from': [5, 23, 43], 'to': [15, 27, 51], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['Baked Ziti', 'area', 'NY pizza']}"
"The service may be a little slow (what can you expect in this laid back atmosphere), but a Sunday brunch is a rewarding experience.","{'from': [4, 98], 'to': [11, 104], 'polarity': ['negative', 'positive'], 'term': ['service', 'brunch']}"
"Husband and Wife owners are always pleasent and accomidating, food is top notch quality made with care, and now, recently renovated to accomidate more tables and a young fresh feel.","{'from': [17, 62, 151], 'to': [23, 66, 157], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['owners', 'food', 'tables']}"
"Even with reservations, checking in, and a generally quiet night, the hostess forgot that we were there and gave our table to her friends.","{'from': [10, 70], 'to': [22, 77], 'polarity': ['neutral', 'negative'], 'term': ['reservations', 'hostess']}"
"After having the table cleared and recieving fresh warm plates, we shared the Chicken Tikka Masala and the Chicken and Lentils.","{'from': [17, 56, 78, 119], 'to': [22, 62, 98, 126], 'polarity': ['neutral', 'positive', 'neutral', 'neutral'], 'term': ['table', 'plates', 'Chicken Tikka Masala', 'Lentils']}"
The tasting menu experience lasted close to three hours and included six or seven food courses and three desert courses.,"{'from': [12, 82], 'to': [16, 94], 'polarity': ['positive', 'neutral'], 'term': ['menu', 'food courses']}"
Stumbled unto this little gem early one saturday afternoon and was thoroughly pleased with the wonderful little backyard.,"{'from': [49, 112], 'to': [58, 120], 'polarity': ['neutral', 'positive'], 'term': ['afternoon', 'backyard']}"
"South American additions to the menu, like perfectly fried green plantains and garlicky pork, are uniformly successful.","{'from': [32, 53, 88], 'to': [36, 74, 92], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['menu', 'fried green plantains', 'pork']}"
"The Food The fare is mostly traditional, with a few contemporary specials offered nightly.","{'from': [4, 13, 65], 'to': [8, 17, 73], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['Food', 'fare', 'specials']}"
"A typical old New York steak-house atmosphere - no ambience, comfort or class, but some of the best steak you will ever have.","{'from': [35, 51, 61], 'to': [45, 59, 68], 'polarity': ['positive', 'negative', 'negative'], 'term': ['atmosphere', 'ambience', 'comfort']}"
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!,"{'from': [15, 48, 80], 'to': [20, 66, 87], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['place', 'corner booth table', 'privacy']}"
"We were served by two very rude waitresses who slammed every glass and dish they brought onto the table, and then got so caught up by hanging out at the bar that I eventually had to hunt them down to pay my bill.","{'from': [32, 71, 98, 153], 'to': [42, 75, 103, 156], 'polarity': ['negative', 'neutral', 'neutral', 'neutral'], 'term': ['waitresses', 'dish', 'table', 'bar']}"
A freind invited me for lunch at Home because he said they have the best hamburgers.,"{'from': [24, 73], 'to': [29, 83], 'polarity': ['neutral', 'positive'], 'term': ['lunch', 'hamburgers']}"
"It is not a very stylish place, but we had some of the best Chinese food we ever had.","{'from': [25, 60], 'to': [30, 72], 'polarity': ['negative', 'positive'], 'term': ['place', 'Chinese food']}"
The ingredients are fabulously fresh and the pizza's well-prepared -- but the crust doesn't match up to John's.,"{'from': [4, 45, 78], 'to': [15, 50, 83], 'polarity': ['positive', 'positive', 'negative'], 'term': ['ingredients', 'pizza', 'crust']}"
"In the front bar, boisterous neighbors and friends share bottles of wine; the large dining room, with its lovely painted ceiling and oversized portrait of a portly chef, is the destination for serious eating.","{'from': [13, 68, 113, 164], 'to': [16, 72, 128, 168], 'polarity': ['neutral', 'neutral', 'positive', 'positive'], 'term': ['bar', 'wine', 'painted ceiling', 'chef']}"
"After each of them had had one drink, one of the managers came up to our table and told us that he no longer felt comfortable serving us any more margaritas.","{'from': [31, 49], 'to': [36, 57], 'polarity': ['neutral', 'negative'], 'term': ['drink', 'managers']}"
The Food There's something for fish fans of every stripe on the lengthy menu.,"{'from': [4, 72], 'to': [8, 76], 'polarity': ['positive', 'neutral'], 'term': ['Food', 'menu']}"
Ask for the cocktail menu it has a plenty selection of drinks.,"{'from': [12, 55], 'to': [25, 61], 'polarity': ['neutral', 'positive'], 'term': ['cocktail menu', 'drinks']}"
"The service was very good, although the food was mediocre.","{'from': [4, 40], 'to': [11, 44], 'polarity': ['negative', 'positive'], 'term': ['service', 'food']}"
Had dinner here this past Friday night with some friends and Salmon River definitely did not disappointment.,"{'from': [4, 61], 'to': [10, 67], 'polarity': ['neutral', 'positive'], 'term': ['dinner', 'Salmon']}"
People at the next table were complaining how horrible their house wine was.,"{'from': [19, 67], 'to': [24, 71], 'polarity': ['neutral', 'negative'], 'term': ['table', 'wine']}"
"Even though the food was prepared nicely, it was definitely lacking flavor.","{'from': [16, 68], 'to': [20, 74], 'polarity': ['positive', 'negative'], 'term': ['food', 'flavor']}"
"However, we were never served bread with our meals and the restaurant is too crowded.","{'from': [23, 45], 'to': [35, 50], 'polarity': ['negative', 'neutral'], 'term': ['served bread', 'meals']}"
"Yes, hard not to look at the waitresses (and they're really good servers), but as I'm reminded by everyone who knows Hooters, they don't rank anywhere near the girls at the Hooters locations South of the ol' Mason-Dixon.","{'from': [65, 208], 'to': [72, 219], 'polarity': ['positive', 'neutral'], 'term': ['servers', 'Mason-Dixon']}"
"Cute decor, but rather small so the dining room can get very smoky if the bar is crowded.","{'from': [5, 36], 'to': [10, 47], 'polarity': ['positive', 'negative'], 'term': ['decor', 'dining room']}"
"Customers choose flavors like sweet cream, cake batter or banana, add mix-ins--ranging from candy bar chunks and Gummi bears to hot fudge and peanut butter--then servers mash it all together on a frozen slab of granite.","{'from': [30, 43, 58, 162, 98], 'to': [41, 54, 64, 169, 101], 'polarity': ['neutral', 'neutral', 'neutral', 'positive', 'neutral'], 'term': ['sweet cream', 'cake batter', 'banana', 'servers', 'bar']}"
Knock off 15-20% of the prices and you have a decent night out.,"{'from': [24, 59], 'to': [30, 62], 'polarity': ['neutral', 'positive'], 'term': ['prices', 'out']}"
(must try the fois gras appetizer and chocolate milkshake for dessert.,"{'from': [14, 38, 62], 'to': [33, 57, 69], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['fois gras appetizer', 'chocolate milkshake', 'dessert']}"
I am an extremely low maintenance diner and the staff at this restaurant managed to insult my dinner party and refuse kitchen service minutes after seating us and informing us that the kitchen was open.,"{'from': [34, 94, 148], 'to': [39, 100, 155], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['diner', 'dinner', 'seating']}"
"Overall, I good place to take a date or have a small group of friends for dinner.","{'from': [16, 74], 'to': [21, 80], 'polarity': ['positive', 'neutral'], 'term': ['place', 'dinner']}"
"We were seated promptly there were a few people waiting in the bar, but had ordered quickly been at the table less than 45 mins.","{'from': [8, 48, 63], 'to': [14, 55, 66], 'polarity': ['positive', 'neutral', 'neutral'], 'term': ['seated', 'waiting', 'bar']}"
"' When I reasoned with them that my dining partner already received her hot entree and was halfway done eating, and all I ordered was two rolls, the wait staff finally got the idea that maybe they should be trying to get me my order.","{'from': [36, 76, 149], 'to': [42, 82, 159], 'polarity': ['neutral', 'neutral', 'negative'], 'term': ['dining', 'entree', 'wait staff']}"
"The salad looked as though they have a premixed trash bag full of it, and they just dump a heap of it on a plate.","{'from': [4, 39], 'to': [9, 47], 'polarity': ['neutral', 'negative'], 'term': ['salad', 'premixed']}"
The red Borsht provides a hearty meal for $1.,"{'from': [4, 33], 'to': [14, 37], 'polarity': ['neutral', 'positive'], 'term': ['red Borsht', 'meal']}"
"The margaritas took me on an instant vacation, and although there was a bit of a wait for a table, the food was well worth it.","{'from': [4, 81, 103], 'to': [14, 85, 107], 'polarity': ['neutral', 'neutral', 'positive'], 'term': ['margaritas', 'wait', 'food']}"
Don't forget to get quacamole made at your table (it's $10 extra) I told the waitress it was my cousin's birthday and they brought out a cake and the mariachi band played at our table.,"{'from': [77, 159], 'to': [85, 163], 'polarity': ['positive', 'neutral'], 'term': ['waitress', 'band']}"
"The other dish was arroz con pollo, the chicken was delicions and the rice was a greasy but good.","{'from': [10, 40, 70], 'to': [14, 47, 74], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['dish', 'chicken', 'rice']}"
I met five of my friends for dinner at Blockheads last Friday night and had a good time.,"{'from': [29, 83], 'to': [35, 87], 'polarity': ['neutral', 'positive'], 'term': ['dinner', 'time']}"
Dylan Prime is one of an increasingly small number of restaurants in NYC that take reservations for large groups.,"{'from': [0, 83], 'to': [5, 95], 'polarity': ['positive', 'neutral'], 'term': ['Dylan', 'reservations']}"
on the food-front while adding just enough of a civilized atmosphere where you won't worry about either your neighbor or the wait staff biting off one of your fingers.,"{'from': [58, 125], 'to': [68, 135], 'polarity': ['positive', 'neutral'], 'term': ['atmosphere', 'wait staff']}"
"They need to expand the menu some, and offer additional toppings for the pizza.","{'from': [24, 56, 73], 'to': [28, 64, 78], 'polarity': ['neutral', 'positive', 'neutral'], 'term': ['menu', 'toppings', 'pizza']}"
Get the pepperoni - YUM - and a family style salad.,"{'from': [8, 32], 'to': [17, 50], 'polarity': ['positive', 'neutral'], 'term': ['pepperoni', 'family style salad']}"
We had a very nice and entertaining waitress who was very much on top of our table.,"{'from': [36, 77], 'to': [44, 82], 'polarity': ['positive', 'neutral'], 'term': ['waitress', 'table']}"
"Lousy, hard as a rock home made potato chips that could slice a tomato as well as a soda can.","{'from': [17, 84], 'to': [21, 92], 'polarity': ['negative', 'neutral'], 'term': ['rock', 'soda can']}"
"), the BBQ salmon was good if not a bit too salty from the heavy miso.","{'from': [7, 65], 'to': [17, 69], 'polarity': ['positive', 'negative'], 'term': ['BBQ salmon', 'miso']}"
"Along with the regular items on the menus, they also offer some wonderful specials--and if an item is not on a menu, they always do their best to accommodate.","{'from': [15, 74], 'to': [28, 82], 'polarity': ['neutral', 'positive'], 'term': ['regular items', 'specials']}"
"Two curiosities: on my last two visits, the salad's lettuce had clearly seen better days, and on my last visit, I was told that I couldn't have coffee at the end of the meal (we were asked to go next door!)","{'from': [44, 144], 'to': [59, 150], 'polarity': ['positive', 'neutral'], 'term': [""salad's lettuce"", 'coffee']}"
"They might be all business at the counter when you give your order, but their food says I love you.","{'from': [34, 78], 'to': [41, 82], 'polarity': ['neutral', 'positive'], 'term': ['counter', 'food']}"
was yelling at the rest of the waitstaff audibly enough that I was able to follow his entire tirade from where I sat in the secondary dining room.,"{'from': [31, 134], 'to': [40, 145], 'polarity': ['negative', 'neutral'], 'term': ['waitstaff', 'dining room']}"
Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!,"{'from': [23, 65], 'to': [29, 71], 'polarity': ['neutral', 'negative'], 'term': ['Sunday', 'served']}"
I ordered a thin-crust individual meat pizza which was big enough for two and my companion ordered pasta with pesto.,"{'from': [12, 99], 'to': [44, 115], 'polarity': ['positive', 'neutral'], 'term': ['thin-crust individual meat pizza', 'pasta with pesto']}"
"For fun on the run, sip a mojito at the bar while a portrait of the Virgin Mary bizarrely watches over you.","{'from': [26, 40], 'to': [32, 43], 'polarity': ['positive', 'neutral'], 'term': ['mojito', 'bar']}"
"The red sauce had no flavor, the cheese lacked that fresh quality cheese taste you expect from a well-known pizzaria, and the slice overall was really dry.","{'from': [4, 21], 'to': [13, 27], 'polarity': ['neutral', 'negative'], 'term': ['red sauce', 'flavor']}"
"Although the food was in small portions, it was good.","{'from': [13, 31], 'to': [17, 39], 'polarity': ['positive', 'negative'], 'term': ['food', 'portions']}"
They need to change the overall decor if they want to get a serious dinner crowd though.,"{'from': [32, 68], 'to': [37, 74], 'polarity': ['neutral', 'negative'], 'term': ['decor', 'dinner']}"
On the menu board posted outside - they got Passion Fruit Creme Brule.,"{'from': [7, 52], 'to': [11, 69], 'polarity': ['neutral', 'positive'], 'term': ['menu', 'Fruit Creme Brule']}"
"If you live downtown, definitely grab one of their menus, make a phone call and relax in front of the tv while they pound the pavement to get to you (although they do take about 45 minutes on average to get to you)-- the in restaurant service is likewise very very good.","{'from': [51, 235], 'to': [56, 242], 'polarity': ['neutral', 'positive'], 'term': ['menus', 'service']}"
Service was slow and spotty; had to flag the waiter down many a time to get drink and food orders in.,"{'from': [0, 45, 76], 'to': [7, 51, 81], 'polarity': ['negative', 'negative', 'neutral'], 'term': ['Service', 'waiter', 'drink']}"
"If you want a quiet dinner don't show up late, cuz the atmosphere gets louder and more loungy as the nite goes on.","{'from': [20, 55], 'to': [26, 65], 'polarity': ['positive', 'negative'], 'term': ['dinner', 'atmosphere']}"
I had the lobster ravioli--good size portion with a delicious vodka cream sauce.,"{'from': [10, 62], 'to': [25, 79], 'polarity': ['neutral', 'positive'], 'term': ['lobster ravioli', 'vodka cream sauce']}"
the waitress never asked us how the food was or if we needed anything.,"{'from': [4, 36], 'to': [12, 40], 'polarity': ['negative', 'neutral'], 'term': ['waitress', 'food']}"
"The food, however, is completely uninteresting - my special of the day pasta was decent, but definitely not worth the money, the wine wasn't particularly spectacular, and the bread.","{'from': [4, 67, 129, 175], 'to': [8, 76, 133, 180], 'polarity': ['negative', 'positive', 'negative', 'negative'], 'term': ['food', 'day pasta', 'wine', 'bread']}"
"The food was OK at best, and if you don't LOVE cheese don't even consider going here.","{'from': [4, 47], 'to': [8, 53], 'polarity': ['neutral', 'negative'], 'term': ['food', 'cheese']}"
